"	Email",Address,Avatar,Time on App,Time on Website,Price,Discount,Marketing spend,Rating,Sales,Date
mstephenson@fernandez.com,"835 Frank TunnelWrightmouth, MI 82180-9605",Violet,12.66,39.58,632,9,6389,5,623,01-01-2024
hduke@hotmail.com,"4547 Archer CommonDiazchester, CA 06566-8576",DarkGreen,11.11,37.27,575,9,6252,4,566,02-01-2024
pallen@yahoo.com,"24645 Valerie Unions Suite 582Cobbborough, DC 99414-7564",Bisque,11.33,37.11,282,15,3341,3,267,03-01-2024
riverarebecca@gmail.com,"1414 David ThroughwayPort Jason, OH 22070-1220",SaddleBrown,13.72,36.72,264,17,3962,5,247,04-01-2024
mstephens@davidson-herman.com,"14023 Rodriguez PassagePort Jacobville, PR 37242-1057",MediumAquaMarine,12.8,37.54,254,8,9230,4,246,05-01-2024
alvareznancy@lucas.biz,"645 Martha Park Apt. 611Jeffreychester, MN 67218-7250",FloralWhite,12.03,34.48,226,10,6955,4,216,06-01-2024
katherine20@yahoo.com,"68388 Reyes Lights Suite 692Josephbury, WV 92213-0247",DarkSlateBlue,11.37,36.68,561,19,7537,3,542,07-01-2024
awatkins@yahoo.com,Unit 6538 Box 8980DPO AP 09026-4941,Aqua,12.35,37.37,981,14,3931,5,967,08-01-2024
vchurch@walter-martinez.com,"860 Lee KeyWest Debra, SD 97450-0495",Salmon,13.39,37.53,145,17,2348,5,128,09-01-2024
bonnie69@lin.biz,"PSC 2734, Box 5255APO AA 98456-7482",Brown,11.81,37.15,949,19,3580,4,930,10-01-2024
andrew06@peterson.com,"26104 Alexander GrovesAlexandriaport, WY 28244-9149",Tomato,13.34,37.23,339,13,1081,4,326,11-01-2024
ryanwerner@freeman.biz,Unit 2413 Box 0347DPO AA 07580-2652,Tomato,11.58,37.09,477,16,4013,4,461,12-01-2024
knelson@gmail.com,"6705 Miller Orchard Suite 186Lake Shanestad, MO 75696-5051",RoyalBlue,10.96,37.42,678,17,3724,3,661,13-01-2024
wrightpeter@yahoo.com,"05302 Dunlap FerryNew Stephaniehaven, MP 42268",Bisque,12.96,36.14,910,20,1273,3,890,14-01-2024
taylormason@gmail.com,"7773 Powell Springs Suite 190Samanthaland, ND 44358",DarkBlue,13.15,36.62,907,17,3593,5,890,15-01-2024
jstark@anderson.com,"49558 Ramirez Road Suite 399Phillipstad, OH 35641-3238",Peru,12.64,36.21,978,12,1129,4,966,16-01-2024
wjennings@gmail.com,"6362 Wilson MountainJohnsonfurt, GA 15169",PowderBlue,11.73,34.89,709,8,7473,5,701,17-01-2024
rebecca45@hale-bauer.biz,"8982 Burton RowWilsonton, PW 88606",OliveDrab,12.01,38.39,174,13,9908,3,161,18-01-2024
alejandro75@hotmail.com,"64475 Andre Club Apt. 795Port Dannytown, PW 63227",Cyan,14.72,38.24,735,13,7831,3,722,19-01-2024
samuel46@love-west.net,"544 Alexander Heights Suite 768North Johnview, MT 57912",LightSeaGreen,13.99,37.19,318,5,1798,4,313,20-01-2024
megan33@gmail.com,"84426 Julia VistaNorth Teresa, KY 50756",PeachPuff,11.37,37.61,253,14,8600,3,239,21-01-2024
agolden@yahoo.com,"PSC 2490, Box 2120APO AE 15445-2876",Black,12.88,37.44,929,10,4547,5,919,22-01-2024
vstafford@hotmail.com,"PSC 5723, Box 8159APO AA 74738",Olive,13.38,38.73,269,12,5124,5,257,23-01-2024
denise22@hernandez-townsend.com,USNS CardenasFPO AA 85439-9449,Silver,11.66,36.77,771,11,1358,3,760,24-01-2024
youngbarbara@yahoo.com,"019 Elliott Tunnel Suite 190Nicholsbury, WV 60804-4440",Wheat,12.89,37.64,668,8,3795,5,660,25-01-2024
william25@mcconnell.com,"9495 Mary Fall Apt. 777Glassport, ND 17957-5596",Teal,11.77,37.74,283,19,5116,4,264,26-01-2024
ijones@schaefer-carr.net,"657 Judith CrossroadHancockchester, VI 75658-5788",Linen,12.78,36.43,797,6,1205,5,791,27-01-2024
heatherhall@yahoo.com,"8522 Regina Port Suite 782Port Kaitlin, TX 50501-7264",MediumSlateBlue,13.01,37.85,804,7,6681,4,797,28-01-2024
tinasmith@martinez.info,"40000 Ann Port Suite 474Youngberg, MS 03651",LemonChiffon,11.98,35.29,237,10,1169,4,227,29-01-2024
chasejennifer@hotmail.com,"9507 Robert Prairie Apt. 601East Crystalview, SC 56814",DarkOrchid,11.97,37.28,976,17,3648,5,959,30-01-2024
jenniferbarnett@gmail.com,"0772 Michael Isle Suite 617Meyerstown, WA 45449-6768",SeaGreen,12.31,36.16,440,12,1705,5,428,31-01-2024
jared39@hotmail.com,"739 David Isle Suite 818Chandlertown, DC 34587",SteelBlue,10.87,35.62,247,15,7778,5,232,01-02-2024
briancarlson@page-fleming.com,USCGC GillFPO AA 26496,DarkMagenta,13.39,35.69,850,8,1312,3,842,02-02-2024
